STATIONS_ID,datetime,  QN,diffuse_radiation_J_cm2,global_radiation_J_cm2,sunshine_duration_min,longwave_radiation_J_cm2,eor,GHI_W_m2,DHI_W_m2
2559,2025-03-14 07:40:00,3,2.6,2.6,0.0,,eor,433.3,433.3
2559,2025-03-14 07:50:00,3,2.9,2.9,0.0,,eor,483.3,483.3
2559,2025-03-14 08:00:00,3,3.5,3.5,0.0,,eor,583.3,583.3
2559,2025-03-14 08:10:00,3,4.8,4.8,0.0,,eor,800.0,800.0
2559,2025-03-14 08:20:00,3,5.2,5.2,0.0,,eor,866.7,866.7
2559,2025-03-14 08:30:00,3,5.5,5.5,0.0,,eor,916.7,916.7
2559,2025-03-14 08:40:00,3,7.5,7.5,0.0,,eor,1250.0,1250.0
2559,2025-03-14 08:50:00,3,7.9,7.9,0.0,,eor,1316.7,1316.7
2559,2025-03-14 09:00:00,3,8.4,8.4,0.0,,eor,1400.0,1400.0
2559,2025-03-14 09:10:00,3,9.3,9.3,0.0,,eor,1550.0,1550.0
2559,2025-03-14 09:20:00,3,9.5,9.5,0.0,,eor,1583.4,1583.4
2559,2025-03-14 09:30:00,3,10.2,10.2,0.0,,eor,1700.0,1700.0
2559,2025-03-14 09:40:00,3,10.0,10.0,0.0,,eor,1666.7,1666.7
2559,2025-03-14 09:50:00,3,11.3,11.3,0.0,,eor,1883.4,1883.4
2559,2025-03-14 10:00:00,3,11.4,11.4,0.0,,eor,1900.0,1900.0
2559,2025-03-14 10:10:00,3,12.1,12.1,0.0,,eor,2016.7,2016.7
2559,2025-03-14 10:20:00,3,13.5,13.5,0.0,,eor,2250.0,2250.0
2559,2025-03-14 10:30:00,3,12.7,12.7,0.0,,eor,2116.7,2116.7
2559,2025-03-14 10:40:00,3,13.1,13.1,0.0,,eor,2183.4,2183.4
2559,2025-03-14 10:50:00,3,15.7,15.7,0.0,,eor,2616.7,2616.7
2559,2025-03-14 11:00:00,3,16.7,16.7,0.0,,eor,2783.4,2783.4
2559,2025-03-14 11:10:00,3,18.9,18.9,0.0,,eor,3150.1,3150.1
2559,2025-03-14 11:20:00,3,18.0,18.0,0.0,,eor,3000.1,3000.1
2559,2025-03-14 11:30:00,3,15.2,15.2,0.0,,eor,2533.4,2533.4
2559,2025-03-14 11:40:00,3,14.8,15.0,0.0,,eor,2500.0,2466.7
2559,2025-03-14 11:50:00,3,18.7,19.2,0.017,,eor,3200.1,3116.7
2559,2025-03-14 12:00:00,3,24.4,24.9,0.0,,eor,4150.1,4066.7
2559,2025-03-14 12:10:00,3,17.4,17.5,0.0,,eor,2916.7,2900.1
2559,2025-03-14 12:20:00,3,17.1,17.2,0.0,,eor,2866.7,2850.1
2559,2025-03-14 12:30:00,3,14.1,14.6,0.0,,eor,2433.4,2350.0
2559,2025-03-14 12:40:00,3,11.1,11.1,0.0,,eor,1850.0,1850.0
2559,2025-03-14 12:50:00,3,16.3,16.4,0.0,,eor,2733.4,2716.7
2559,2025-03-14 13:00:00,3,8.2,8.2,0.0,,eor,1366.7,1366.7
2559,2025-03-14 13:10:00,3,11.7,11.7,0.0,,eor,1950.0,1950.0
2559,2025-03-14 13:20:00,3,19.8,19.9,0.0,,eor,3316.7,3300.1
2559,2025-03-14 13:30:00,3,10.7,10.7,0.0,,eor,1783.4,1783.4
2559,2025-03-14 13:40:00,3,9.8,9.8,0.0,,eor,1633.4,1633.4
2559,2025-03-14 13:50:00,3,16.5,16.5,0.0,,eor,2750.1,2750.1
2559,2025-03-14 14:00:00,3,12.8,12.8,0.0,,eor,2133.4,2133.4
2559,2025-03-14 14:10:00,3,13.1,13.1,0.0,,eor,2183.4,2183.4
2559,2025-03-14 14:20:00,3,13.1,13.3,0.0,,eor,2216.7,2183.4
2559,2025-03-14 14:30:00,3,12.6,12.6,0.0,,eor,2100.0,2100.0
2559,2025-03-14 14:40:00,3,9.7,9.7,0.0,,eor,1616.7,1616.7
2559,2025-03-14 14:50:00,3,7.5,7.5,0.0,,eor,1250.0,1250.0
2559,2025-03-14 15:00:00,3,5.1,5.1,0.0,,eor,850.0,850.0
2559,2025-03-14 15:10:00,3,5.8,5.8,0.0,,eor,966.7,966.7
2559,2025-03-14 15:20:00,3,5.6,5.6,0.0,,eor,933.4,933.4
2559,2025-03-14 15:30:00,3,4.2,4.2,0.0,,eor,700.0,700.0
2559,2025-03-14 15:40:00,3,3.3,3.3,0.0,,eor,550.0,550.0
2559,2025-03-14 15:50:00,3,2.9,2.9,0.0,,eor,483.3,483.3
2559,2025-03-14 16:00:00,3,3.0,3.0,0.0,,eor,500.0,500.0
2559,2025-03-14 16:10:00,3,2.3,2.3,0.0,,eor,383.3,383.3
2559,2025-03-14 16:20:00,3,2.7,2.7,0.0,,eor,450.0,450.0
2559,2025-03-14 16:30:00,3,2.3,2.3,0.0,,eor,383.3,383.3
2559,2025-03-14 16:40:00,3,0.9,0.9,0.0,,eor,150.0,150.0
2559,2025-03-14 16:50:00,3,0.5,0.5,0.0,,eor,83.3,83.3
2559,2025-03-14 17:00:00,3,0.1,0.1,0.0,,eor,16.7,16.7
2559,2025-03-14 17:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 17:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 17:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 17:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 17:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 18:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 18:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 18:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 18:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 18:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 18:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 19:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 19:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 19:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 19:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
